Destination_Region;Country_Name;indicatorId;geoUnit;Year; Students_Outbound
;Nepal;OE.5T8.40505;NPL;2004;24
;Nepal;OE.5T8.40505;NPL;2005;40
;Nepal;OE.5T8.40505;NPL;2006;27
;Nepal;OE.5T8.40505;NPL;2007;25
;Nepal;OE.5T8.40505;NPL;2008;65
;Nepal;OE.5T8.40505;NPL;2009;59
;Nepal;OE.5T8.40505;NPL;2010;59
;Nepal;OE.5T8.40505;NPL;2011;92
;Nepal;OE.5T8.40505;NPL;2012;50
;Nepal;OE.5T8.40505;NPL;2013;28
;Nepal;OE.5T8.40505;NPL;2014;52
;Nepal;OE.5T8.40505;NPL;2015;31
;Nepal;OE.5T8.40505;NPL;2016;24
;Nepal;OE.5T8.40505;NPL;2017;37
;Nepal;OE.5T8.40505;NPL;2018;41
;Nepal;OE.5T8.40505;NPL;2019;30
;Nepal;OE.5T8.40505;NPL;2020;22
;Nepal;OE.5T8.40505;NPL;2021;21
;Nepal;OE.5T8.40505;NPL;2022;21
;Nepal;OE.5T8.40505;NPL;2023;34
;Pakistan;OE.5T8.40505;PAK;2000;407
;Pakistan;OE.5T8.40505;PAK;2001;498
;Pakistan;OE.5T8.40505;PAK;2002;609
;Pakistan;OE.5T8.40505;PAK;2003;659
;Pakistan;OE.5T8.40505;PAK;2004;722
;Pakistan;OE.5T8.40505;PAK;2005;846
;Pakistan;OE.5T8.40505;PAK;2006;794
;Pakistan;OE.5T8.40505;PAK;2007;709
;Pakistan;OE.5T8.40505;PAK;2008;396
;Pakistan;OE.5T8.40505;PAK;2009;341
;Pakistan;OE.5T8.40505;PAK;2010;1235
;Pakistan;OE.5T8.40505;PAK;2011;1218
;Pakistan;OE.5T8.40505;PAK;2012;1052
;Pakistan;OE.5T8.40505;PAK;2013;854
;Pakistan;OE.5T8.40505;PAK;2014;716
;Pakistan;OE.5T8.40505;PAK;2015;638
;Pakistan;OE.5T8.40505;PAK;2016;509
;Pakistan;OE.5T8.40505;PAK;2017;462
;Pakistan;OE.5T8.40505;PAK;2018;712
;Pakistan;OE.5T8.40505;PAK;2019;1056
;Pakistan;OE.5T8.40505;PAK;2020;3821
;Pakistan;OE.5T8.40505;PAK;2021;6692
;Pakistan;OE.5T8.40505;PAK;2022;9371
;Pakistan;OE.5T8.40505;PAK;2023;11320
;Afghanistan;OE.5T8.40515;AFG;2000;93
;Afghanistan;OE.5T8.40515;AFG;2001;94
;Afghanistan;OE.5T8.40515;AFG;2002;100
;Afghanistan;OE.5T8.40515;AFG;2003;119
;Afghanistan;OE.5T8.40515;AFG;2004;109
;Afghanistan;OE.5T8.40515;AFG;2005;110
;Afghanistan;OE.5T8.40515;AFG;2006;115
;Afghanistan;OE.5T8.40515;AFG;2007;128
;Afghanistan;OE.5T8.40515;AFG;2008;175
;Afghanistan;OE.5T8.40515;AFG;2009;230
;Afghanistan;OE.5T8.40515;AFG;2010;308
;Afghanistan;OE.5T8.40515;AFG;2011;403
;Afghanistan;OE.5T8.40515;AFG;2012;418
